"filename", "language", "C++", "Python", "comment", "blank", "total"
"/home/diogop/N-Body_v2/src/barnesHutTree.cpp", "C++", 66, 0, 3, 14, 83
"/home/diogop/N-Body_v2/src/barnesHutTree.hpp", "C++", 17, 0, 1, 9, 27
"/home/diogop/N-Body_v2/src/gravitationalForce.cpp", "C++", 66, 0, 3, 19, 88
"/home/diogop/N-Body_v2/src/gravitationalForce.hpp", "C++", 9, 0, 1, 4, 14
"/home/diogop/N-Body_v2/src/initialState.cpp", "C++", 30, 0, 1, 8, 39
"/home/diogop/N-Body_v2/src/initialState.hpp", "C++", 8, 0, 1, 5, 14
"/home/diogop/N-Body_v2/src/main.cpp", "C++", 8, 0, 94, 12, 114
"/home/diogop/N-Body_v2/src/main.hpp", "C++", 14, 0, 1, 6, 21
"/home/diogop/N-Body_v2/src/output.cpp", "C++", 45, 0, 7, 8, 60
"/home/diogop/N-Body_v2/src/output.hpp", "C++", 10, 0, 1, 4, 15
"/home/diogop/N-Body_v2/src/rungeKutta.cpp", "C++", 33, 0, 1, 10, 44
"/home/diogop/N-Body_v2/src/rungeKutta.hpp", "C++", 10, 0, 1, 4, 15
"/home/diogop/N-Body_v2/src/structures.cpp", "C++", 1, 0, 1, 3, 5
"/home/diogop/N-Body_v2/src/structures.hpp", "C++", 55, 0, 1, 10, 66
"/home/diogop/N-Body_v2/test/simulation/simulation.py", "Python", 0, -20, -1, -12, -33
"/home/diogop/N-Body_v2/test/tree/tree.py", "Python", 0, -38, -1, -16, -55
"Total", "-", 372, -58, 115, 88, 517